Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-4.679999999999999716e-01,nan,nan,6.327674645447928015e+03,5.944995206570761184e+02,3.674192823069249698e+02,nan,nan,1.879456195330108206e-04,1.928502204655872993e-04,2.291109636000929000e-04,nan
-4.649999999999999689e-01,nan,nan,5.638946802213652518e+03,5.361581979148646724e+02,3.345805343724277350e+02,nan,nan,1.879426252516939230e-04,1.928209386668525117e-04,2.290598240646097531e-04,nan
-4.619999999999999662e-01,nan,nan,5.024974405041072714e+03,4.835268476088834859e+02,3.046680709111514034e+02,nan,nan,1.879392640899863202e-04,1.927884704957453350e-04,2.290036735231104419e-04,nan
-4.589999999999999636e-01,nan,nan,4.477643397310032924e+03,4.360466242469489657e+02,2.774211286066824869e+02,nan,nan,1.879354907788174294e-04,1.927524680633114172e-04,2.289420200901496412e-04,nan
-4.559999999999999609e-01,nan,nan,3.989720433014829723e+03,3.932133775718577340e+02,2.526021809494916113e+02,nan,nan,1.879312543812810003e-04,1.927125452329862495e-04,2.288743234170638322e-04,nan
-4.529999999999999583e-01,nan,nan,3.554757283250046839e+03,3.545722994382599609e+02,2.299948675883379110e+02,nan,nan,1.879264975616885629e-04,1.926682733548330784e-04,2.287999898802898678e-04,nan
-4.499999999999999556e-01,nan,nan,3.167005618544995741e+03,3.197130946095232957e+02,2.094021081986660704e+02,nan,nan,1.879211557548461327e-04,1.926191765101238390e-04,2.287183672843986289e-04,nan
-4.469999999999999529e-01,nan,nan,2.821341040838009576e+03,2.882656241975821558e+02,1.906443844255437057e+02,nan,nan,1.879151562205261044e-04,1.925647262069001377e-04,2.286287390293549452e-04,nan
-4.439999999999999503e-01,nan,nan,2.513195361122515351e+03,2.598959754873324073e+02,1.735581749239047156e+02,nan,nan,1.879084169654935495e-04,1.925043354592453416e-04,2.285303176859504177e-04,nan
-4.409999999999999476e-01,nan,nan,2.238496227768420340e+03,2.343029164145301309e+02,1.579945298534822484e+02,nan,nan,1.879008455122943881e-04,1.924373521738928050e-04,2.284222379171135710e-04,nan
-4.379999999999999449e-01,nan,nan,1.993613307666589662e+03,2.112146970504574028e+02,1.438177724015228307e+02,nan,nan,1.878923374901962401e-04,1.923630517572643285e-04,2.283035486757901175e-04,nan
-4.349999999999999423e-01,nan,nan,1.775310308944350027e+03,1.903861641311541462e+02,1.309043160137486836e+02,nan,nan,1.878827750190228095e-04,1.922806288438266972e-04,2.281732046021985451e-04,nan
-4.319999999999999396e-01,nan,nan,1.580702211199903104e+03,1.715961579929759466e+02,1.191415870227187526e+02,nan,nan,1.878720248509311609e-04,1.921891880324514518e-04,2.280300565343703896e-04,nan
