Et,k2nd defect_Sinton_300,k2nd defect_Sinton_350,k2nd defect_Sinton_400,TauMinor2nd defect_Sinton_300,TauMinor2nd defect_Sinton_350,TauMinor2nd defect_Sinton_400,StdDev
-4.139999999999999791e-01,1.696309991211252921e+00,1.673807909253673065e+00,1.673166627587028499e+00,3.605942842400368593e-07,3.730017058345816249e-07,3.878561297473752003e-07,1.076191956465372482e-02
-4.079999999999999738e-01,1.227394128932316253e+00,1.235141494983882149e+00,1.275669608489527374e+00,4.429751425957035216e-07,4.521149577471308888e-07,4.606325440405323063e-07,2.116882296508010991e-02
-4.019999999999999685e-01,8.556027405641163375e-01,8.756089922732605002e-01,9.416767523139181195e-01,5.409649774508971277e-07,5.472466714816525016e-07,5.468491300264741443e-07,3.677851807017629843e-02
-3.959999999999999631e-01,5.608188622944406676e-01,5.809349157985940204e-01,6.610426277349815694e-01,6.560256446048668694e-07,6.612907263901547582e-07,6.489001583804311745e-07,4.329062546626741975e-02
-3.900000000000000133e-01,3.270922682786244762e-01,3.394190286629937270e-01,4.252426385352130467e-01,7.890999309887987897e-07,7.975065473551820047e-07,7.695708396456908875e-07,4.365411551755202235e-02
-3.840000000000000080e-01,1.417764325860756125e-01,1.414717764419396451e-01,2.271140788283045886e-01,9.403382466609038677e-07,9.594939014538020179e-07,9.120867427841794998e-07,4.030055229779742204e-02
-3.780000000000000027e-01,nan,nan,6.063855732563034479e-02,nan,nan,1.080163438206399889e-06,nan
-3.719999999999999973e-01,nan,nan,nan,nan,nan,nan,nan
-3.659999999999999920e-01,nan,nan,nan,nan,nan,nan,nan
-3.599999999999999867e-01,nan,nan,nan,nan,nan,nan,nan
-3.539999999999999813e-01,nan,nan,nan,nan,nan,nan,nan
-3.479999999999999760e-01,nan,nan,nan,nan,nan,nan,nan
-3.419999999999999707e-01,nan,nan,nan,nan,nan,nan,nan
-3.359999999999999654e-01,nan,nan,nan,nan,nan,nan,nan
-3.299999999999999600e-01,nan,nan,nan,nan,nan,nan,nan
-3.239999999999999547e-01,nan,nan,nan,nan,nan,nan,nan
-3.179999999999999494e-01,nan,nan,nan,nan,nan,nan,nan
-3.119999999999999440e-01,nan,nan,nan,nan,nan,nan,nan
-3.059999999999999942e-01,nan,nan,nan,nan,nan,nan,nan
-2.999999999999999889e-01,nan,nan,nan,nan,nan,nan,nan
-2.939999999999999836e-01,nan,nan,nan,nan,nan,nan,nan
-2.879999999999999782e-01,nan,nan,nan,nan,nan,nan,nan
-2.819999999999999729e-01,nan,nan,nan,nan,nan,nan,nan
-2.759999999999999676e-01,nan,nan,nan,nan,nan,nan,nan
-2.699999999999999623e-01,nan,nan,nan,nan,nan,nan,nan
-2.639999999999999569e-01,nan,nan,nan,nan,nan,nan,nan
-2.579999999999999516e-01,nan,nan,nan,nan,nan,nan,nan
-2.519999999999999463e-01,nan,nan,nan,nan,nan,nan,nan
-2.459999999999999964e-01,nan,nan,nan,nan,nan,nan,nan
-2.399999999999999911e-01,nan,nan,nan,nan,nan,nan,nan
-2.339999999999999858e-01,nan,nan,nan,nan,nan,nan,nan
-2.279999999999999805e-01,nan,nan,nan,nan,nan,nan,nan
-2.219999999999999751e-01,nan,nan,nan,nan,nan,nan,nan
-2.159999999999999698e-01,nan,nan,nan,nan,nan,nan,nan
-2.099999999999999645e-01,nan,nan,nan,nan,nan,nan,nan
-2.039999999999999591e-01,nan,nan,nan,nan,nan,nan,nan
-1.979999999999999538e-01,nan,nan,nan,nan,nan,nan,nan
-1.919999999999999485e-01,nan,nan,nan,nan,nan,nan,nan
-1.859999999999999432e-01,nan,nan,nan,nan,nan,nan,nan
-1.799999999999999933e-01,nan,nan,nan,nan,nan,nan,nan
-1.739999999999999880e-01,nan,nan,nan,nan,nan,nan,nan
-1.679999999999999827e-01,nan,nan,nan,nan,nan,nan,nan
